iter	MultiClass
120	0.5465108823
121	0.5436278547
122	0.5393044093
123	0.5349558794
124	0.5316604611
125	0.5288323389
126	0.5249336991
127	0.5215680461
128	0.5184803629
129	0.514698641
130	0.5116828962
131	0.5076988836
132	0.5043587909
133	0.502221311
134	0.4998312589
135	0.4974260779
136	0.4949710174
137	0.4928694353
138	0.4904342025
139	0.4877156726
140	0.4841398149
141	0.4801907371
142	0.4776406948
143	0.4756361009
144	0.4732995005
145	0.4701122324
146	0.4676082473
147	0.4654056492
148	0.4635575204
149	0.4615236216
150	0.4598760724
151	0.4565520426
152	0.4540512824
153	0.4509875318
154	0.448603566
155	0.4462334227
156	0.4437226444
157	0.4416995749
158	0.4397416501
159	0.438607874
160	0.4363956599
161	0.4344550225
162	0.4322922476
163	0.4301822046
164	0.4276224601
165	0.4258251575
166	0.4241592581
167	0.4228245368
168	0.4209163612
169	0.4190235505
170	0.4164743505
171	0.4147712205
172	0.4132824061
173	0.4120921938
174	0.4095561169
175	0.4079147886
176	0.4052765563
177	0.4043039568
178	0.4024522584
179	0.3999569903
180	0.3982488071
181	0.3967208792
182	0.3945390471
183	0.3912630157
184	0.3894295533
185	0.3885628108
186	0.3865737682
187	0.385134526
188	0.3833207531
189	0.3804653027
190	0.377263316
191	0.3759712643
192	0.3736095421
193	0.3719322397
194	0.370652015
195	0.3683434299
196	0.3654052715
197	0.362755268
198	0.3605173664
199	0.3583699928
200	0.3570163472
201	0.3562422316
202	0.3538122731
203	0.3531879153
204	0.3519328766
205	0.3507892802
206	0.3488216655
207	0.347489036
208	0.3456406831
209	0.3445417032
210	0.3426085156
211	0.3407039263
212	0.3385645134
213	0.3375108155
214	0.3360338997
215	0.3352926653
216	0.3339899307
217	0.332896388
218	0.3311266338
219	0.3299444501
220	0.3287641899
221	0.3280446364
222	0.3268235928
223	0.3256557002
224	0.3238037553
225	0.3226108511
226	0.3219074675
227	0.3202362787
228	0.319603939
229	0.3183497564
230	0.3174224509
231	0.3166771539
232	0.3151893739
233	0.3140977036
234	0.3129553819
235	0.311556519
236	0.309650567
237	0.3084898643
238	0.3076729864
239	0.3058747154
240	0.3052057533
241	0.3042681414
242	0.3031316427
243	0.3017425755
244	0.3006551262
245	0.2996114309
246	0.2983367077
247	0.2967335624
248	0.2959133596
249	0.2946898876
250	0.2933482942
251	0.2926646639
252	0.2917268134
253	0.2908487606
254	0.289661559
255	0.2877194379
256	0.2864976452
257	0.2857946015
258	0.2850059318
259	0.283608712
260	0.2828476715
261	0.2816678069
262	0.280476105
263	0.2791120379
264	0.2778351473
265	0.2767423367
266	0.2755216764
267	0.274424362
268	0.2734866325
269	0.2725375453
270	0.2718458419
271	0.2706173897
272	0.2697165859
273	0.2685793753
274	0.2677555141
275	0.2671154133
276	0.2654842073
277	0.2642721169
278	0.2634756387
279	0.2622479038
280	0.2609635521
281	0.2597069742
282	0.2585082647
283	0.2578890479
284	0.2570192023
285	0.256277267
286	0.2556392129
287	0.2549596371
288	0.2540123618
289	0.2533656987
290	0.2519836625
291	0.2512137394
292	0.2504206878
293	0.2498115045
294	0.2488006894
295	0.247733843
296	0.2470603596
297	0.245411296
298	0.2446618191
299	0.2442575445
300	0.2428384161
301	0.2422675338
302	0.2418596159
303	0.241378762
304	0.2400864848
305	0.2394093962
306	0.2386174336
307	0.2377165888
308	0.2368713086
309	0.2361040526
310	0.2356412004
311	0.2349618669
312	0.2341906664
313	0.2334301235
314	0.2327836014
315	0.2324476378
316	0.2315945094
317	0.2309090053
318	0.230141965
319	0.22939346
320	0.2289382864
321	0.2284183106
322	0.2276996926
323	0.2264701898
324	0.2259293152
325	0.2253042957
326	0.2246480735
327	0.2238219937
328	0.2233058786
329	0.2227926052
330	0.2221030637
331	0.221509725
332	0.2211836226
333	0.2201766323
334	0.2196366804
335	0.2186820208
336	0.2181246995
337	0.2174085413
338	0.2167295012
339	0.2163386933
340	0.2157870983
341	0.2150543553
342	0.2145762307
343	0.2141096812
344	0.2134386955
345	0.2128010111
346	0.2118062791
347	0.2108930343
348	0.2100424516
349	0.2096533353
350	0.2093540934
351	0.2089273201
352	0.2083969065
353	0.2077674355
354	0.20724364
355	0.2067507794
356	0.2064833386
357	0.2059940245
358	0.2055064831
359	0.2051962831
360	0.2048853489
361	0.2046617153
362	0.2039649241
363	0.2037710915
364	0.2028343269
365	0.2026125166
366	0.2018860439
367	0.2013017165
368	0.2007003386
369	0.2002863605
370	0.1995135121
371	0.1993056304
372	0.1985078589
373	0.1975904969
374	0.1969636604
375	0.1964303054
376	0.1960719876
377	0.1956132705
378	0.1951790307
379	0.1946221715
380	0.1939966303
381	0.1933444449
382	0.1927993268
383	0.192253048
384	0.1915598892
385	0.191152679
386	0.1902965664
387	0.1899023815
388	0.1893695397
389	0.1889618017
390	0.1884771647
391	0.187890669
392	0.1871915956
393	0.1864792304
394	0.1862112463
395	0.1858507017
396	0.185464703
397	0.1851657869
398	0.1839748801
399	0.1835934559
400	0.1830839748
401	0.1826494885
402	0.182306198
403	0.1820030678
404	0.1813184719
405	0.1804861218
406	0.179942349
407	0.1795107944
408	0.1792546638
409	0.1787926652
410	0.178218626
411	0.1775641065
412	0.1771557512
413	0.1767967814
414	0.1760919795
415	0.1755106836
416	0.1750260146
417	0.1745232669
418	0.1739823061
419	0.1732217313
420	0.1725661061
421	0.1721735539
422	0.1717933953
423	0.1714120618
424	0.1708874881
425	0.1700836242
426	0.1697209139
427	0.1693546732
428	0.1689357034
429	0.1683786718
430	0.167905604
431	0.1674168779
432	0.1669836841
433	0.1665753374
434	0.1664436678
435	0.1662968502
436	0.1658300747
437	0.1653881265
438	0.1650480436
439	0.1646121558
440	0.1641797161
441	0.1638219504
442	0.1635768764
443	0.1630750282
444	0.1625876596
445	0.1623798681
446	0.1619258233
447	0.1615566752
448	0.1611752968
449	0.1608632992
450	0.1604291129
451	0.1598096249
452	0.1593166232
453	0.1585892136
454	0.1582678039
455	0.1579022384
456	0.1577000463
457	0.1569553764
458	0.1565933432
459	0.1563308768
460	0.1559625703
461	0.1556047107
462	0.1551713479
463	0.1546173837
464	0.1542541904
465	0.1539070441
466	0.1536956487
467	0.1532954051
468	0.1528719652
469	0.1525844351
470	0.1522980771
471	0.1520611748
472	0.1516784351
473	0.1509627427
474	0.15037192
475	0.150074839
476	0.1497527857
477	0.1492821068
478	0.1488796972
479	0.1484210073
480	0.1480643149
481	0.147457093
482	0.146961568
483	0.1466160762
484	0.1463658275
485	0.1458926535
486	0.1455646433
487	0.1450297708
488	0.1446754285
489	0.144362412
490	0.1435402385
491	0.1431351633
492	0.1423176048
493	0.1417289438
494	0.1412592737
495	0.140812735
496	0.1406224387
497	0.1402742278
498	0.1399941672
499	0.1397655849
500	0.1395011326
501	0.1392831922
502	0.1390681807
503	0.1388835188
504	0.1385124659
505	0.1379851984
506	0.1374235349
507	0.1371874756
508	0.1366042112
509	0.1363826314
510	0.1360418465
511	0.1358269799
512	0.1355684971
513	0.1351744977
514	0.1346017268
515	0.1343117107
516	0.1340233786
517	0.1336097166
518	0.1333021189
519	0.1330028933
520	0.1325470121
521	0.1323118036
522	0.1320524863
523	0.1315483129
524	0.1312787981
525	0.1309605338
526	0.1306808894
527	0.130390629
528	0.1299272982
529	0.1295142555
530	0.1294000638
531	0.1290249979
532	0.1288498753
533	0.1284442563
534	0.1281454935
535	0.1278776174
536	0.1276366566
537	0.1273268911
538	0.1270473586
539	0.1267962792
540	0.126431499
541	0.1260702805
542	0.1258909023
543	0.1256824786
544	0.1254303311
545	0.1251241295
546	0.1247346676
547	0.1244858017
548	0.1241838349
549	0.1240003259
550	0.1237486981
551	0.1233823962
552	0.1230645373
553	0.1226663427
554	0.1222381672
555	0.1218328114
556	0.1215716755
557	0.1211346897
558	0.1207864585
559	0.1204872555
560	0.1202314759
561	0.1200654797
562	0.1196810243
563	0.1191762824
564	0.1190426576
565	0.1188018398
566	0.1183806913
567	0.1182069647
568	0.1179456499
569	0.1177726211
570	0.1175892965
571	0.1172194854
572	0.117040555
573	0.1167327732
574	0.1164301959
575	0.1161696024
576	0.1160223226
577	0.1157219965
578	0.1152215051
579	0.1149190139
580	0.114608067
581	0.1144654449
582	0.1140601592
583	0.1138270491
584	0.1134533306
585	0.1132217177
586	0.112918323
587	0.1125361498
588	0.1123943427
589	0.1120756266
590	0.1118073762
591	0.1115658342
592	0.111160948
593	0.1109276264
594	0.1106365505
595	0.1105509784
596	0.1101962395
597	0.1098791618
598	0.1096100399
599	0.1093602737
600	0.1091828967
601	0.108861403
602	0.1086076584
603	0.1082105279
604	0.1079010847
605	0.1076775866
606	0.1075374911
607	0.1073418227
608	0.1071368089
609	0.1070104189
610	0.1066887103
611	0.1065594382
612	0.1062780453
613	0.1060155445
614	0.1058435009
615	0.1055257301
616	0.1052845617
617	0.1050090378
618	0.1048964469
619	0.1047161955
620	0.1044759542
621	0.1043278371
622	0.1040551795
623	0.1037348719
624	0.1033590454
625	0.1030799167
626	0.1030304667
627	0.1027338112
628	0.1026288462
629	0.1024607469
630	0.1023553998
631	0.1021973632
632	0.101874436
633	0.1017485082
634	0.1015591323
635	0.1012341597
636	0.1010096483
637	0.1007160196
638	0.1004443467
639	0.1002521939
640	0.09997727331
641	0.09970462677
642	0.09948590599
643	0.09925797712
644	0.09912595506
645	0.09906996226
646	0.09887819819
647	0.09859192383
648	0.09830287794
649	0.09800117118
650	0.09772820414
651	0.09763813599
652	0.09747200293
653	0.09731662994
654	0.09714976526
655	0.09701966898
656	0.09680254153
657	0.09655799538
658	0.09630062103
659	0.09607741504
660	0.0959431664
661	0.09582170884
662	0.09557326381
663	0.09543634297
664	0.09525584804
665	0.09507946185
666	0.09491099523
667	0.09460121771
668	0.09445539251
669	0.09413909223
670	0.09399792592
671	0.09379305317
672	0.09368478225
673	0.09356697184
674	0.09336685734
675	0.09324177309
676	0.09306524732
677	0.09284944721
678	0.09264593396
679	0.09252915729
680	0.09232147155
681	0.09199843353
682	0.09179558823
683	0.09162884348
684	0.0914624653
685	0.09106837972
686	0.09086701566
687	0.09069172038
688	0.09044676754
689	0.0901529338
690	0.08999971145
691	0.08986661754
692	0.08969510766
693	0.08942353757
694	0.08917931351
695	0.0889606644
696	0.08873888659
697	0.08863267692
698	0.0884453676
699	0.08822621003
700	0.08806799376
701	0.08791154693
702	0.087659096
703	0.0874595511
704	0.08737062906
705	0.08724164652
706	0.08706358082
707	0.08695324512
708	0.08683631427
709	0.08661705519
710	0.08642902104
711	0.08625492001
712	0.08610257363
713	0.08578609428
714	0.08567531122
715	0.08554345914
716	0.08533894583
717	0.08519767688
718	0.08499605849
719	0.08479782255
720	0.08465170787
721	0.0845505148
722	0.08441319449
723	0.08416950536
724	0.08400754602
725	0.0839018189
726	0.08374946931
727	0.08355392724
728	0.08342592811
729	0.08317712127
730	0.0830732122
731	0.08278804906
732	0.08262585233
733	0.08237020849
734	0.0822467447
735	0.08209706488
736	0.08199774586
737	0.08186797367
738	0.0817322263
739	0.08160645866
740	0.08137732481
741	0.08127213541
742	0.08113141172
743	0.08087006011
744	0.08080289161
745	0.0806880634
746	0.08053924955
747	0.08043951597
748	0.08032827605
749	0.08007158277
750	0.07992429479
751	0.07982701342
752	0.07969313316
753	0.07954906746
754	0.07938765674
755	0.07922708543
756	0.07911259241
757	0.07899770183
758	0.07893858714
759	0.07870607928
760	0.07849536567
761	0.07835093356
762	0.07824702421
763	0.07812238296
764	0.07786452538
765	0.07774926201
766	0.07760051
767	0.07747946402
768	0.0773910975
769	0.07717983256
770	0.07700652526
771	0.07679668291
772	0.0765875013
773	0.07641202221
774	0.07631753952
775	0.07617618676
776	0.07606853873
777	0.07603253839
778	0.07591590102
779	0.07585391177
780	0.07573481651
781	0.07559627152
782	0.07549892853
783	0.07537460384
784	0.07527031393
785	0.0751065562
786	0.07498959176
787	0.07488137282
788	0.07465945721
789	0.0744364778
790	0.07434230453
791	0.07424274388
792	0.07413110526
793	0.07400815451
794	0.07390118941
795	0.07384885381
796	0.07365069642
797	0.07360286974
798	0.07350269515
799	0.07335378574
800	0.07323425634
801	0.07311847984
802	0.07297733909
803	0.0727905468
804	0.07259673322
805	0.07243707401
806	0.07234481188
807	0.07222065584
808	0.07202387644
809	0.07193313572
810	0.07177229425
811	0.07165575617
812	0.07156126428
813	0.07145331235
814	0.07136961871
815	0.07118698887
816	0.0711120206
817	0.07099288084
818	0.07076050612
819	0.07056020219
820	0.07044445857
821	0.07031222966
822	0.07019950759
823	0.07013850427
824	0.07007903084
825	0.06999700907
826	0.06987946931
827	0.06971411021
828	0.06958784506
829	0.06944055362
830	0.06935836592
831	0.06926334382
832	0.06916412147
833	0.06907673774
834	0.06891443082
835	0.06873261745
836	0.06858925114
837	0.06841250536
838	0.06815856699
839	0.0680624968
840	0.06794635863
841	0.06782793315
842	0.06766291414
843	0.06754031747
844	0.06742619571
845	0.06731383682
846	0.06717764134
847	0.06702592201
848	0.06696209062
849	0.06692480797
850	0.06680225008
851	0.06674209346
852	0.0666073462
853	0.06644517861
854	0.06632492265
855	0.06614080482
856	0.06598876922
857	0.06586927169
858	0.06573593964
859	0.06568243626
860	0.0655146852
861	0.06543942744
862	0.0653149489
863	0.06515129162
864	0.06499567979
865	0.06492579243
866	0.06483170274
867	0.06477214771
868	0.06463369636
869	0.06447677218
870	0.06436303257
871	0.06424549345
872	0.06411176501
873	0.06404415194
874	0.06396484029
875	0.06385552316
876	0.0637668784
877	0.06370086209
878	0.06354470599
879	0.06345256859
880	0.06335701399
881	0.06322553934
882	0.06316437001
883	0.06300633123
884	0.06292210881
885	0.06280272356
886	0.06264226791
887	0.06255895214
888	0.0625166125
889	0.06244393495
890	0.0623282329
891	0.06217880537
892	0.0621097024
893	0.06191500779
894	0.06178952623
895	0.06168828041
896	0.06162680267
897	0.06154294092
898	0.06147670904
899	0.06136374395
900	0.06128792287
901	0.06123833933
902	0.06119477579
903	0.06106742981
904	0.06100593345
905	0.06088647057
906	0.06080882718
907	0.06069935979
908	0.06059346714
909	0.06052387441
910	0.06041361751
911	0.06033810829
912	0.060266717
913	0.06011040207
914	0.06003329753
915	0.05994493997
916	0.05985569016
917	0.05979463122
918	0.05962810932
919	0.05949429139
920	0.05938537467
921	0.05933516191
922	0.05920652206
923	0.05914257176
924	0.05908828309
925	0.05897304943
926	0.05887529109
927	0.05869412189
928	0.05863236083
929	0.05852491821
930	0.05844140238
931	0.05834289518
932	0.05826965529
933	0.05815455966
934	0.05805213132
935	0.05790040585
936	0.05780723759
937	0.05769816643
938	0.05761454616
939	0.05751600058
940	0.05743996913
941	0.05734230874
942	0.05727806685
943	0.0571955964
944	0.0570922412
945	0.05698262536
946	0.05688369633
947	0.05673813059
948	0.05664473397
949	0.05658059582
950	0.05646615262
951	0.05636293116
952	0.05633645229
953	0.0561626877
954	0.05607685384
955	0.05595146407
956	0.05582290338
957	0.05573361477
958	0.05570925665
959	0.055591563
960	0.05549297658
961	0.05536428721
962	0.05528469461
963	0.05518368705
964	0.05505157753
965	0.05493993842
966	0.05483207413
967	0.05474706736
968	0.05469745266
969	0.05460259977
970	0.05453619943
971	0.05442376315
972	0.0542963056
973	0.05421312069
974	0.05411072753
975	0.05403659559
976	0.05395291822
977	0.05387377236
978	0.05381387652
979	0.05370904826
980	0.05366961355
981	0.05360878946
982	0.05347122021
983	0.05340650625
984	0.05331734062
985	0.05325766519
986	0.05316395111
987	0.05310127909
988	0.0529752912
989	0.05285740377
990	0.05278243493
991	0.05267687461
992	0.05259380947
993	0.05254732572
994	0.05246423918
995	0.05240778446
996	0.05235699984
997	0.05232812264
998	0.05228675688
999	0.05217433956
